时间节点,A,B,C
1,122.0523841,94.33717065,91.60479805
2,116.38032009999999,87.55506435,85.38540755
3,116.02084454999999,88.27332919999999,86.59681350000001
4,113.67666585,87.28397335,84.45077934999999
5,116.49721344999999,94.28066445,92.60498075
6,112.09937769999999,86.43778660000001,84.28644905
7,111.71266109999999,88.01020365,83.8291158
8,111.00985779999999,85.29588065,83.64249045
9,113.82679025,91.1984159,89.91338385
10,110.22272840000001,85.07170914999999,81.8612747
11,110.1523333,85.14735915,82.61928165
12,110.052875,86.44630325,82.59372599999999
13,111.90869745,90.38661295,88.95031965000001
14,114.70457265,83.99288975,81.1303714
15,107.93489539999999,83.80972455,81.23105935
16,107.20664169999999,83.35790080000001,81.1091456
17,108.18779615,89.13300260000001,87.11032285
18,105.52056535,84.6753694,79.5438296
19,105.976587,85.0304694,79.18672275
20,108.5925456,83.79704794999999,78.67116134999999
21,109.19871085,90.6816185,86.16301315
22,118.0502269,83.40900395,79.35449344999999
23,106.9631036,82.80634295,79.3959207
24,118.4698787,84.5314334,79.08194035000001
25,110.01787470000001,87.45427869999999,86.125815
26,106.24727795,81.61811025,79.84621039999999
27,104.79536664999999,79.6897084,80.56448205000001
28,104.47592479999999,79.2917985,79.1333531
29,106.79281205,85.39648205,85.62237845
30,103.624186,79.0051718,78.4910215
31,102.1444529,80.533946,78.63346655
32,103.72582475,79.937357,77.89190334999999
33,104.0616325,81.67844015,84.73434780000001
34,101.79128765,75.15143235000001,77.6845986
35,102.45684315,76.78230405000001,78.54945794999999
36,103.55386535,77.50357475,79.37269085
37,108.062121,83.72284805,88.2247691
38,104.98577995,78.0748726,81.3382332
39,106.19741605,78.84664070000001,81.63431695
40,107.404498,80.02901075,84.0025785
41,113.42681905,87.8053381,92.75429120000001
42,120.2014657,81.08060069999999,85.73037769999999
43,109.9458161,81.2520846,86.69880135
44,108.96431145,82.51810175,85.44884390000001
45,115.42424755,89.41790785,93.35525075000001
46,112.65875444999999,83.15887984999999,85.31576655
47,112.6822583,82.16888370000001,85.20619194999999
48,112.64175440000001,80.80663075,84.814803
49,115.7045635,86.9978489,92.736331
50,116.9938664,80.54855345,84.18651034999999
51,110.5839018,80.2527186,84.25889925
52,109.28475405,83.4827802,83.75497145
53,114.07407625,89.15610515,91.98197449999999
54,108.32017595,82.842435,83.78098825
55,107.64425560000001,81.32745025,83.7953351
56,107.45400144999999,81.99906195,83.75247259999999
57,111.8218518,87.88105225,91.5000421
58,106.29158190000001,82.5995032,83.81188039999999
59,105.97694564999999,79.87368665,83.30050849999999
60,105.24055800000001,80.27019625,83.58413245
61,109.56880635,86.39644255,92.36949455
62,105.52209309999999,79.92010295,83.83642615
63,103.90010735,79.93852575,83.84520105
64,104.56907774999999,80.18886289999999,83.48639605
65,109.6039004,87.2533787,92.26422945
66,107.4625322,80.77509574999999,84.1673606
67,109.64408354999999,81.42471225,83.5538143
68,110.0595738,80.97830225,83.7937325
69,115.0968405,88.36226119999999,92.52775765
70,113.12349689999999,81.1947887,84.0779931
71,116.19576875,81.78327680000001,84.12142945
72,117.04463115,81.81416355,84.08157159999999
73,123.24996105,88.83831585,92.8253301
74,120.6306944,82.04425465,84.92350359999999
75,125.6906145,81.57058185,84.72571695
76,119.8608278,81.66592405,85.03348655
77,123.0356416,88.5726639,92.13392385
78,118.8815419,81.4986386,84.01209045
79,117.8418539,81.1938225,84.26824975000001
80,129.0614824,79.21213755,83.8396824
81,121.49779865,86.12065820000001,91.3276528
82,117.6400325,80.26922515,82.94592905
83,117.34841145,80.41030185000001,82.6403839
84,116.08973395,79.67485035,82.9823867
85,121.0504976,86.1771329,90.68287655
86,117.3932617,78.82310455000001,83.04095875
87,117.42493475,78.24853455,82.268827
88,116.25297295,76.83602864999999,81.42524935
89,119.0365143,82.3792382,88.29940244999999
90,114.06367935,74.91182235000001,80.29686534999999
91,112.49182255,74.160053,79.90600144999999
